cluster_id,center_lat,center_lng,radius_m,radius_km,start_date,end_date,start_year,start_month,end_year,end_month,duration_days,duration_weeks,observed_cases,expected_cases,excess_cases,obs_exp_ratio,llr,p_value,is_high_rate,is_hierarchical,is_gini,slider_value,n_case_points,cases_centroid_lat,cases_centroid_lng,center_to_case_centroid_km,cases_bbox_lat_min,cases_bbox_lat_max,cases_bbox_lng_min,cases_bbox_lng_max,cases_bbox_lat_span_km,cases_bbox_lng_span_km
262,32.747325,-117.250822,40.022152,0.04002,2024/4/3,2024/4/9,2024,4,2024,4,6,0.86,17,0.67,16.33,25.35,38.629777,0.005,True,True,False,0.00497512,106,32.747158,-117.250883,0.0194,32.746987,32.747595,-117.251113,-117.25048,0.0676,0.0592
263,32.871147,-117.223778,172.900518,0.1729,2022/1/19,2022/2/8,2022,1,2022,2,20,2.86,13,0.25,12.75,51.89,38.590064,0.005,True,True,False,0.00497512,14,32.871042,-117.223549,0.0243,32.870454,32.871238,-117.224017,-117.222123,0.0872,0.1769
264,32.706192,-117.151464,63.975364,0.06398,2024/5/22,2024/6/11,2024,5,2024,6,20,2.86,35,4.92,30.08,7.11,38.582091,0.005,True,True,False,0.00497512,228,32.706295,-117.151658,0.0215,32.70564,32.706686,-117.152133,-117.150811,0.1163,0.1237
265,32.759085,-117.096817,35.605296,0.03561,2022/5/11,2022/6/14,2022,5,2022,6,34,4.86,16,0.55,15.45,28.99,38.42578,0.005,True,True,False,0.00497512,17,32.759099,-117.096981,0.0154,32.758901,32.759179,-117.097197,-117.096623,0.0309,0.0537
266,32.752539,-117.096016,59.781298,0.05978,2023/1/25,2023/2/21,2023,1,2023,2,27,3.86,14,0.34,13.66,41.25,38.414515,0.005,True,True,False,0.00497512,15,32.752525,-117.095989,0.003,32.752012,32.752882,-117.096139,-117.095714,0.0967,0.0397
267,32.711693,-117.138643,24.532723,0.02453,2022/6/1,2022/7/19,2022,6,2022,7,48,6.86,19,0.98,18.02,19.41,38.331933,0.005,True,True,False,0.00497512,21,32.711694,-117.138645,0.0003,32.711537,32.711873,-117.138836,-117.13845,0.0374,0.0361
268,32.706814,-117.145024,58.678212,0.05868,2024/6/26,2024/9/3,2024,6,2024,9,69,9.86,24,1.94,22.06,12.37,38.315887,0.005,True,True,False,0.00497512,29,32.706549,-117.144838,0.0342,32.706357,32.706984,-117.145125,-117.144536,0.0697,0.0551
269,32.764112,-117.060098,51.045052,0.05105,2023/3/8,2023/4/25,2023,3,2023,4,48,6.86,51,10.98,40.02,4.64,38.297963,0.005,True,True,False,0.00497512,265,32.764027,-117.059903,0.0205,32.76366,32.764484,-117.060624,-117.059556,0.0916,0.0999
270,32.785951,-117.098546,333.454264,0.33345,2022/4/27,2022/5/24,2022,4,2022,5,27,3.86,37,5.63,31.37,6.57,38.283111,0.005,True,True,False,0.00497512,207,32.786428,-117.098024,0.0721,32.782996,32.788712,-117.101932,-117.095262,0.6356,0.6235
271,32.75414,-117.24638,30.324062,0.03032,2022/7/13,2022/10/4,2022,7,2022,10,83,11.86,25,2.17,22.83,11.52,38.264799,0.005,True,True,False,0.00497512,4,32.754129,-117.246325,0.0053,32.753942,32.754267,-117.246521,-117.246094,0.0361,0.0399
