record_id,date,description,Matches Homeless/Encampment Filter,Camp,Vehicle,Individual,Active Camp,Abandoned Camp,Transient Camp,Abandoned Vehicle,Mental Health Crisis,Neutral Presence,Daily Activities,Using Drugs,geometry
49005,2022-10-22 14:20:00,Homeless encampment blocking public sidewalk access,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.158132158 32.7136871120001)
56637,2023-11-12 21:53:00+00:00,Encampments,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1494201 32.706483774849)
34839,2021-12-09 13:35:00,Homeless encampment in the canyon.  There was a fire in encampment-it has been extinguished.  RP is SDFD.,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1474488 32.7401956)
23061,2020-11-13 11:46:00,This is suppose to be a city dog park. Vagrants have taken over the park turning it into their own encampment. Citizens clean the area every day. Today a homeless individual set fire to the trash. Area needs to be closed off to the public permanently.,True,True,False,True,False,False,False,False,False,False,False,False,POINT (-117.156350661 32.748266401)
49743,2022-10-30 15:45:00,Homeless encampment possible fire hazard,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.222408839 32.8052366950001)
39836,2023-08-18 15:42:00+00:00,Homeless passed out blocking sidewalk with their bodies,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1520303 32.7148667134378)
36590,2023-08-05 23:27:00+00:00,Multiple tents set up on 8th Avenue between F St and E St,True,True,False,False,True,False,False,False,False,False,False,False,POINT (-117.1574135 32.7141052215781)
25162,2020-11-30 12:04:00,Dangerous encampment in narrow City of Dan Diego parking lot,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.192526761 32.74667686)
3282,2022-01-11 08:58:00,Transient encampment,True,True,False,False,False,False,True,False,False,False,False,False,POINT (-117.251349665 32.796702936)
26992,2022-06-22 13:32:00,Encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.086806744 32.757127354)
47350,2023-09-25 21:12:00+00:00,Encampments,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1504241 32.7086046264832)
23881,2022-05-30 16:22:00,This homeless woman has been sitting here on the sidewalk for days,True,True,False,True,False,False,False,False,False,True,False,False,POINT (-117.0689305 32.760405)
55779,2023-11-10 00:21:00+00:00,"I?m writing to express serious concern about the increasing number of homeless individuals camping on sidewalks and even in the street in our neighborhood. The camps frequently move a short distance each day, creating instability and potential hazards.  This situation poses safety and sanitation issues for residents. I request immediate attention to provide support for those in need while ensuring community safety. A collaborative effort is crucial for a positive and sustainable resolution.",True,True,False,False,False,False,False,False,False,True,True,False,POINT (-117.2086578 32.749375480867)
26066,2021-09-06 13:49:00,Abandoned burned encampment,True,True,False,False,False,True,False,True,False,False,False,False,POINT (-117.150458579 32.723894535)
16593,2021-06-16 14:32:00,Encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.195865116 32.758083033)
5170,2021-02-20 12:47:00,Camp with water line connected to park faucet.,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.158935331 32.7273991660001)
45728,2023-09-18 20:25:00+00:00,homeless (african american gentlmen)  has built a camp in front of the parks restrooms. Unsafe- Schools very near!,True,True,False,False,False,False,False,False,False,True,False,False,POINT (-117.0911258 32.6996946428823)
34178,2022-07-31 21:22:00,"Homeless encampment, blocking the sidewalk, doing drugs, one started yelling at me and my dog as we tried to pass in the street",True,True,False,False,False,False,False,False,False,False,False,True,POINT (-117.167410813 32.7270302420001)
17522,2022-04-13 14:36:00,"Our customer is scared because Homeless left trailer , broken car , shopping car , trash , at parking lot for a month",True,True,True,False,False,False,False,True,False,False,False,False,POINT (-117.1338425 32.7707955000001)
5039,2023-02-04 17:46:00+00:00,Homeless encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1024182 32.7269076376731)
23067,2020-11-02 23:16:00,Homeless gal from Lindbergh Park has moved her shopping carts to the top of Cosmo st.  Sprawled out blocking sidewalk.,True,True,False,False,False,False,True,False,False,False,True,False,POINT (-117.16584139 32.8201127400001)
47277,2023-09-28 21:57:00+00:00,Abandoned encampment c and 11,True,True,False,False,False,True,False,True,False,False,False,False,POINT (-117.1548472 32.7169616666666)
56762,2023-11-10 16:40:00+00:00,Public drug use/homeless. These individuals smoke a crack pipe all day. We have been reporting them all year. They just move from sidewalk to sidewalk.,True,True,False,False,False,False,False,False,False,False,True,True,POINT (-117.2087396 32.7493858677109)
24961,2023-06-03 02:52:00+00:00,Drug Activity. Homeless Screaming At Pedestrians On Sidewalk. Sidewalk Littered With Human Feces And Trash. Police Have Come And Cleaned The Homeless Out On Several Occasions But They Always Return Almost A Couple Hours Later.,True,True,False,False,False,False,False,False,True,False,False,True,POINT (-117.0878854 32.7489728326948)
25621,2023-06-09 16:10:00+00:00,Homeless camp along Nimitz,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.2348168 32.7484190983726)
28550,2022-06-26 15:44:00,Two homeless people have made the westernmost corner of W Street their evening and morning home?they are directly across from the Electra garage entrance/exit?they arrive in the evening and leave usually around Noon?we would hope they can be relocated?th,True,True,False,False,False,False,True,False,False,False,False,False,POINT (-117.16994781 32.715425054)
46294,2023-09-24 17:48:00+00:00,Homelessness drugs and bottles,True,True,False,False,False,False,False,False,False,False,False,True,POINT (-117.2526765 32.7499428528366)
28671,2021-10-04 18:44:00,Homeless camped inside parking lot under a tarp,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.08436719 32.723399466)
11105,2022-03-03 16:07:00,Homeless trespassing on easement with stolen shopping cart,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.151325501 32.7479751270001)
29148,2021-10-10 13:35:00,REF. NEIGHBORHOOD POLICE  /  ENV SERV DEPT. -   VACATION ISLE PARK. -  MISSION BAY. -  2800 INGRAHAM ST. -  RANGER HAS SPOKEN TO A WOMAN. -  TIDAY 2 CAUCASIAN WOMEN AND A BLACK MAN INSIDE. -  VIOLATION OF POSTED SIGNS  OVERNIGHT CAMPING PROHIBITED AND CA,True,True,False,True,False,False,False,False,False,False,False,False,POINT (-117.238446102 32.7710995190001)
21041,2022-05-17 08:12:00,"Homeless encampment increasing,  drug use, illegal dumping, unsafe for citizens to walk by",True,True,False,False,False,False,False,False,False,False,True,True,POINT (-117.156084414 32.748350035)
33414,2022-07-22 12:37:00,Tents taking up entire sidewalk on laurel street under the I-5,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.17055047 32.73046372)
42057,2022-09-23 13:44:00,Trash and homeless encampment blocking public sidewalk access,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.158295725 32.714803843)
24819,2023-06-07 15:22:00+00:00,Homeless encampment,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.0782079 32.7456743400601)
16206,2022-04-25 03:15:00,Homeless camp,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.118450937 32.7549117610001)
