cluster_id,center_lat,center_lng,radius_m,radius_km,start_date,end_date,start_year,start_month,end_year,end_month,duration_days,duration_weeks,observed_cases,expected_cases,excess_cases,obs_exp_ratio,llr,p_value,is_high_rate,is_hierarchical,is_gini,slider_value,n_case_points,cases_centroid_lat,cases_centroid_lng,center_to_case_centroid_km,cases_bbox_lat_min,cases_bbox_lat_max,cases_bbox_lng_min,cases_bbox_lng_max,cases_bbox_lat_span_km,cases_bbox_lng_span_km
48,32.714161,-117.156357,50.690137,0.05069,2023/10/4,2024/2/20,2023,10,2024,2,139,19.86,213,58.78,154.22,3.62,120.11163,0.01,True,True,False,0.01,373,32.71419,-117.156523,0.0159,32.713708,32.714598,-117.156771,-117.156075,0.099,0.0651
49,32.76239,-117.061192,227.996354,0.228,2022/1/1,2022/8/23,2022,1,2022,8,234,33.43,342,129.63,212.37,2.64,119.61665,0.01,True,True,False,0.01,608,32.763309,-117.06107,0.1029,32.760641,32.764371,-117.063581,-117.059028,0.4148,0.4257
50,32.744862,-117.108926,9.242491,0.00924,2022/5/4,2022/10/4,2022,5,2022,10,153,21.86,115,17.88,97.12,6.43,116.950129,0.01,True,True,False,0.01,124,32.744884,-117.108897,0.0037,32.744782,32.744941,-117.108972,-117.10884,0.0177,0.0123
51,32.747325,-117.250822,37.061744,0.03706,2024/1/31,2024/2/13,2024,1,2024,2,13,1.86,47,1.5,45.5,31.34,116.419557,0.01,True,True,False,0.01,98,32.747168,-117.250886,0.0184,32.74703,32.747595,-117.251095,-117.25048,0.0628,0.0575
52,32.914513,-117.11716,334.154628,0.33415,2024/11/27,2024/12/24,2024,11,2024,12,27,3.86,57,3.09,53.91,18.45,112.272171,0.01,True,True,False,0.01,208,32.916797,-117.117382,0.2548,32.913602,32.917494,-117.120568,-117.114843,0.4328,0.5344
53,32.820302,-117.184429,238.352034,0.23835,2022/8/31,2022/9/20,2022,8,2022,9,20,2.86,51,2.23,48.77,22.82,110.763632,0.01,True,True,False,0.01,120,32.820881,-117.184338,0.065,32.818161,32.822062,-117.186742,-117.182612,0.4338,0.3859
54,32.796855,-117.216356,315.77218,0.31577,2024/6/19,2024/12/17,2024,6,2024,12,181,25.86,121,21.5,99.5,5.63,109.582705,0.01,True,True,False,0.01,149,32.795681,-117.215999,0.1347,32.794334,32.798752,-117.218816,-117.213389,0.4913,0.5073
55,32.713851,-117.157404,42.673822,0.04267,2023/4/26,2023/5/30,2023,4,2023,5,34,4.86,165,39.92,125.08,4.13,109.138551,0.01,True,True,False,0.01,967,32.713816,-117.157448,0.0057,32.713486,32.714235,-117.157822,-117.156966,0.0833,0.0801
56,32.770243,-117.248176,496.002628,0.496,2022/8/24,2022/11/29,2022,8,2022,11,97,13.86,146,31.96,114.04,4.57,107.822782,0.01,True,True,False,0.01,382,32.77017,-117.248471,0.0288,32.766482,32.773918,-117.252979,-117.242899,0.8268,0.9425
57,32.748335,-117.252335,57.444867,0.05744,2022/6/8,2022/6/21,2022,6,2022,6,13,1.86,49,2.09,46.91,23.43,107.638609,0.01,True,True,False,0.01,147,32.748478,-117.252571,0.0272,32.747919,32.748839,-117.252873,-117.252197,0.1023,0.0632
