cluster_id,center_lat,center_lng,radius_m,radius_km,start_date,end_date,start_year,start_month,end_year,end_month,duration_days,duration_weeks,observed_cases,expected_cases,excess_cases,obs_exp_ratio,llr,p_value,is_high_rate,is_hierarchical,is_gini,slider_value,n_case_points,cases_centroid_lat,cases_centroid_lng,center_to_case_centroid_km,cases_bbox_lat_min,cases_bbox_lat_max,cases_bbox_lng_min,cases_bbox_lng_max,cases_bbox_lat_span_km,cases_bbox_lng_span_km
429,32.708201,-117.149353,56.657798,0.05666,2024/5/8,2024/7/9,2024,5,2024,7,62,8.86,65,21.15,43.85,3.07,29.12701,0.01,True,True,False,0.01,347,32.708384,-117.149412,0.0211,32.707692,32.708699,-117.149904,-117.148775,0.112,0.1056
430,32.718677,-117.166631,27.76838,0.02777,2023/1/25,2023/4/11,2023,1,2023,4,76,10.86,18,1.42,16.58,12.66,29.120396,0.01,True,True,False,0.01,24,32.718715,-117.16649,0.0138,32.718484,32.718904,-117.166834,-117.166387,0.0467,0.0418
431,32.75783,-117.191807,389.059032,0.38906,2022/7/20,2022/9/13,2022,7,2022,9,55,7.86,38,8.04,29.96,4.73,29.071805,0.01,True,True,False,0.01,152,32.758488,-117.192893,0.1252,32.754776,32.761263,-117.195954,-117.188032,0.7213,0.7408
432,32.792286,-117.20947,29.587821,0.02959,2022/10/5,2023/2/14,2022,10,2023,2,132,18.86,25,3.28,21.72,7.62,29.063601,0.01,True,True,False,0.01,34,32.792323,-117.209498,0.0049,32.792052,32.79253,-117.209736,-117.209206,0.0532,0.0495
433,32.749181,-117.150654,65.621425,0.06562,2024/10/16,2024/11/19,2024,10,2024,11,34,4.86,16,1.02,14.98,15.68,29.062411,0.01,True,True,False,0.01,40,32.748927,-117.151109,0.0511,32.748655,32.749283,-117.151344,-117.150654,0.0698,0.0645
434,32.71301,-117.155496,97.966407,0.09797,2024/2/21,2024/3/12,2024,2,2024,3,20,2.86,35,6.82,28.18,5.13,29.053435,0.01,True,True,False,0.01,309,32.712577,-117.155241,0.0537,32.712184,32.713559,-117.156537,-117.154669,0.1529,0.1748
435,32.76392,-117.059686,26.007302,0.02601,2022/1/1,2022/1/18,2022,1,2022,1,17,2.43,21,2.16,18.84,9.73,28.935022,0.01,True,True,False,0.01,172,32.763939,-117.059772,0.0083,32.763708,32.764134,-117.059948,-117.059467,0.0474,0.045
436,32.804982,-117.223169,35.18305,0.03518,2022/5/4,2022/7/5,2022,5,2022,7,62,8.86,17,1.23,15.77,13.79,28.845998,0.01,True,True,False,0.01,21,32.804955,-117.223153,0.0033,32.80476,32.80517,-117.223438,-117.222841,0.0456,0.0558
437,32.712534,-117.148336,9.666262,0.00967,2024/10/16,2024/11/12,2024,10,2024,11,27,3.86,12,0.42,11.58,28.58,28.65416,0.01,True,True,False,0.01,21,32.712552,-117.14837,0.0037,32.712477,32.712594,-117.148435,-117.14826,0.013,0.0164
438,32.810723,-117.219209,29.008469,0.02901,2024/1/10,2024/2/6,2024,1,2024,2,27,3.86,18,1.46,16.54,12.3,28.642654,0.01,True,True,False,0.01,43,32.810794,-117.219213,0.0079,32.81047,32.810964,-117.219317,-117.219049,0.0549,0.025
439,32.75457,-117.09836,97.179194,0.09718,2022/1/1,2022/4/12,2022,1,2022,4,101,14.43,37,7.79,29.21,4.75,28.440778,0.01,True,True,False,0.01,86,32.75491,-117.098186,0.0412,32.75414,32.755216,-117.09924,-117.097606,0.1196,0.1528
440,32.71356,-117.152391,19.653311,0.01965,2022/7/20,2022/8/9,2022,7,2022,8,20,2.86,10,0.22,9.78,45.66,28.431056,0.01,True,True,False,0.01,11,32.713588,-117.152385,0.0032,32.713512,32.713684,-117.152549,-117.152184,0.0191,0.0341
441,32.799557,-117.048103,3293.982694,3.29398,2022/6/29,2022/8/23,2022,6,2022,8,55,7.86,62,19.9,42.1,3.11,28.355234,0.01,True,True,False,0.01,372,32.793027,-117.054175,0.9216,32.769977,32.818478,-117.082851,-117.014212,5.3931,6.4155
442,32.719588,-117.142316,21.805137,0.02181,2022/6/15,2022/7/12,2022,6,2022,7,27,3.86,13,0.56,12.44,23.05,28.353235,0.01,True,True,False,0.01,21,32.719596,-117.142388,0.0068,32.71941,32.719746,-117.142547,-117.142129,0.0374,0.0391
443,32.757856,-117.21518,52.809289,0.05281,2023/8/30,2023/9/12,2023,8,2023,9,13,1.86,23,2.8,20.2,8.23,28.270679,0.01,True,True,False,0.01,118,32.757868,-117.215157,0.0025,32.757407,32.758075,-117.21571,-117.214635,0.0743,0.1005
444,32.750703,-117.133669,14.779574,0.01478,2022/11/9,2022/12/20,2022,11,2022,12,41,5.86,12,0.44,11.56,27.51,28.211515,0.01,True,True,False,0.01,16,32.750764,-117.133614,0.0085,32.750703,32.750807,-117.13382,-117.133557,0.0116,0.0246
445,32.739056,-117.160481,19.146501,0.01915,2022/8/17,2022/8/23,2022,8,2022,8,6,0.86,12,0.44,11.56,27.07,28.023221,0.01,True,True,False,0.01,63,32.739044,-117.160456,0.0027,32.738895,32.739219,-117.160648,-117.160328,0.036,0.0299
446,32.810086,-117.214375,290.632929,0.29063,2022/7/20,2022/10/18,2022,7,2022,10,90,12.86,21,2.27,18.73,9.25,27.995247,0.01,True,True,False,0.01,27,32.810346,-117.214055,0.0416,32.807948,32.812164,-117.216257,-117.211359,0.4688,0.4577
447,32.75044,-117.078578,297.633576,0.29763,2022/8/3,2023/3/7,2022,8,2023,3,216,30.86,80,30.32,49.68,2.64,27.946234,0.01,True,True,False,0.01,153,32.749733,-117.079932,0.1491,32.748148,32.752854,-117.081663,-117.078535,0.5233,0.2925
448,32.717412,-117.161513,49.750673,0.04975,2022/1/1,2022/7/12,2022,1,2022,7,192,27.43,47,12.43,34.57,3.78,27.946,0.01,True,True,False,0.01,76,32.717624,-117.161461,0.024,32.717117,32.71785,-117.161998,-117.161014,0.0815,0.0921
449,32.746329,-117.189339,399.49601,0.3995,2024/3/27,2024/4/2,2024,3,2024,4,6,0.86,22,2.55,19.45,8.62,27.942789,0.01,True,True,False,0.01,362,32.745983,-117.190322,0.0997,32.743384,32.749021,-117.193575,-117.185554,0.6268,0.7501
450,32.705962,-117.14938,24.311554,0.02431,2023/12/13,2023/12/26,2023,12,2023,12,13,1.86,9,0.15,8.85,59.59,27.93818,0.01,True,True,False,0.01,16,32.705985,-117.149365,0.0029,32.705744,32.706133,-117.149458,-117.149163,0.0433,0.0276
